Id,Category
0,1
1,3
2,1
3,2
4,2
5,1
6,1
7,3
8,1
9,1
10,3
11,2
12,2
13,4
14,1
15,2
16,3
17,1
18,1
19,1
20,2
21,1
22,2
23,4
24,1
25,2
26,0
27,1
28,2
29,1
30,1
31,1
32,2
33,3
34,2
35,2
36,3
37,0
38,2
39,1
40,3
41,1
42,1
43,3
44,4
45,2
46,1
47,1
48,1
49,1
50,1
51,2
52,3
53,1
54,3
55,3
56,1
57,3
58,1
59,1
60,1
61,1
62,2
63,3
64,1
65,3
66,2
67,2
68,2
69,1
70,1
71,3
72,3
73,2
74,1
75,2
76,0
77,0
78,1
79,1
80,1
81,1
82,0
83,1
84,2
85,1
86,1
87,1
88,1
89,1
90,2
91,1
92,0
93,1
94,2
95,1
96,3
97,3
98,2
99,1
100,1
101,1
102,1
103,3
104,2
105,1
106,2
107,3
108,2
109,1
110,1
111,2
112,1
113,3
114,1
115,3
116,1
117,1
118,2
119,3
120,1
121,1
122,1
123,3
124,3
125,2
126,1
127,0
128,0
129,2
130,1
131,1
132,4
133,3
134,1
135,2
136,3
137,1
138,1
139,2
140,0
141,2
142,2
143,2
144,2
145,3
146,1
147,2
148,1
149,3
150,1
151,1
152,1
153,2
154,3
155,2
156,3
157,2
158,1
159,3
160,1
161,1
162,1
163,3
164,3
165,1
166,1
167,1
168,1
169,2
170,2
171,4
172,2
173,1
174,4
175,3
176,1
177,1
178,1
179,2
180,1
181,2
182,3
183,2
184,2
185,1
186,1
187,2
188,2
189,2
190,1
191,1
192,1
193,1
194,1
195,2
196,2
197,2
198,1
199,1
200,1
201,2
202,1
203,3
204,3
205,2
206,2
207,1
208,3
209,2
210,1
211,2
212,3
213,1
214,1
215,1
216,3
217,1
218,1
219,1
220,1
221,2
222,1
223,3
224,2
225,2
226,1
227,1
228,2
229,1
230,1
231,1
232,2
233,1
234,2
235,3
236,1
237,1
238,2
239,1
240,1
241,4
242,4
243,2
244,1
245,2
246,4
247,3
248,2
249,2
250,1
251,1
252,2
253,1
254,1
255,2
256,3
257,4
258,2
259,1
260,1
261,2
262,1
263,2
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,2
272,1
273,1
274,2
275,1
276,1
277,1
278,2
279,2
280,2
281,1
282,1
283,3
284,0
285,1
286,1
287,1
288,1
289,1
290,3
291,2
292,1
293,2
294,3
295,1
296,1
297,1
298,3
299,1
300,2
301,2
302,1
303,3
304,3
305,0
306,1
307,1
308,3
309,1
310,1
311,3
312,0
313,0
314,1
315,1
316,0
317,4
318,0
319,1
320,2
321,1
322,1
323,1
324,2
325,4
326,1
327,1
328,1
329,1
330,2
331,0
332,0
333,3
334,1
335,3
336,1
337,1
338,1
339,1
340,3
341,1
342,3
343,4
344,1
345,1
346,4
347,1
348,2
349,2
350,2
351,2
352,3
353,2
354,2
355,2
356,1
357,1
358,4
359,2
360,3
361,1
362,2
363,1
364,1
365,2
366,4
367,2
368,1
369,2
370,1
371,1
372,3
373,1
374,1
375,2
376,1
377,3
378,1
379,1
380,1
381,3
382,2
383,0
384,1
385,1
386,2
387,1
388,3
389,2
390,1
391,2
392,1
393,3
394,0
395,2
396,2
397,2
398,0
399,1
400,1
401,3
402,1
403,1
404,0
405,1
406,2
407,2
408,1
409,2
410,1
411,1
412,1
413,1
414,0
415,1
416,2
417,1
418,1
419,1
420,1
421,1
422,1
423,2
424,1
425,1
426,1
427,1
428,0
429,1
430,2
431,1
432,1
433,0
434,2
435,1
436,3
437,1
438,1
439,3
440,2
441,1
442,2
443,2
444,1
445,1
446,1
447,0
448,2
449,2
450,1
451,3
452,1
453,1
454,1
455,2
456,2
457,0
458,3
459,0
460,1
461,2
462,1
463,4
464,1
465,3
466,0
467,1
468,2
469,1
470,0
471,2
472,1
473,1
474,1
475,1
476,1
477,1
478,2
479,4
480,1
481,3
482,1
483,2
484,4
485,1
486,2
487,1
488,2
489,1
490,1
491,1
492,3
493,1
494,1
495,3
496,2
497,1
498,1
499,2
500,2
501,4
502,0
503,3
504,1
505,0
506,1
507,1
508,1
509,1
510,3
511,2
512,3
513,2
514,1
515,4
516,1
517,1
518,2
519,1
520,1
521,1
522,1
523,2
524,1
525,1
526,0
527,1
528,2
529,4
530,1
531,1
532,2
533,1
534,2
535,3
536,1
537,3
538,1
539,1
540,1
541,3
542,2
543,3
544,2
545,1
546,1
547,1
548,2
549,1
550,3
551,1
552,1
553,0
554,2
555,1
556,1
557,1
558,3
559,3
560,1
561,2
562,1
563,0
564,1
565,1
566,1
567,1
568,1
569,3
570,1
571,2
572,1
573,2
574,1
575,1
576,2
577,2
578,1
579,0
580,3
581,1
582,3
583,1
584,1
585,1
586,4
587,2
588,2
589,1
590,4
591,1
592,2
593,4
594,2
595,1
596,2
597,3
598,2
599,1
600,3
601,2
602,2
603,0
604,3
605,4
606,1
607,1
608,1
609,1
610,1
611,4
612,1
613,1
614,3
615,1
616,1
617,1
618,1
619,1
620,0
621,0
622,2
623,2
624,1
625,1
626,3
627,1
628,1
629,2
630,2
631,2
632,2
633,1
634,2
635,1
636,1
637,1
638,3
639,1
640,1
641,2
642,3
643,1
644,1
645,4
646,3
647,2
648,1
649,2
650,1
651,1
652,1
653,2
654,3
655,1
656,4
657,1
658,1
659,1
660,1
661,1
662,1
663,2
664,3
665,4
666,1
667,1
668,2
669,1
670,3
671,1
672,2
673,1
674,2
675,4
676,4
677,4
678,2
679,2
680,2
681,2
682,2
683,1
684,1
685,2
686,1
687,1
688,1
689,1
690,3
691,1
692,1
693,2
694,2
695,1
696,2
697,1
698,2
699,1
700,4
701,2
702,2
703,2
704,2
705,1
706,4
707,1
708,1
709,1
710,1
711,2
712,1
713,1
714,0
715,2
716,2
717,1
718,1
719,2
720,4
721,1
722,2
723,2
724,3
725,1
726,2
727,1
728,1
729,1
730,2
731,3
732,0
733,1
734,2
735,2
736,1
737,1
738,2
739,1
740,2
741,1
742,1
743,2
744,4
745,1
746,2
747,1
748,4
749,3
750,2
751,0
752,1
753,1
754,2
755,1
756,1
757,1
758,4
759,2
760,1
761,3
762,1
763,1
764,1
765,2
766,2
767,0
768,1
769,1
770,1
771,1
772,1
773,2
774,2
775,3
776,3
777,1
778,2
779,1
780,1
781,1
782,1
783,2
784,1
785,1
786,1
787,1
788,1
789,1
790,2
791,2
792,4
793,0
794,2
795,1
796,1
797,1
798,1
799,2
800,1
801,1
802,2
803,2
804,1
805,2
806,1
807,1
808,2
809,1
810,1
811,0
812,2
813,4
814,1
815,3
816,3
817,1
818,4
819,1
820,1
821,1
822,1
823,1
824,1
825,0
826,1
827,2
828,1
829,3
830,1
831,2
832,2
833,3
834,1
835,1
836,1
837,1
838,0
839,4
840,3
841,1
842,1
843,0
844,0
845,3
846,1
847,4
848,1
849,3
850,1
851,2
852,1
853,1
854,4
855,1
856,3
857,3
858,2
859,1
860,2
861,0
862,2
863,2
864,2
865,1
866,1
867,1
868,1
869,0
870,2
871,2
872,1
873,0
874,1
875,0
876,1
877,4
878,1
879,2
880,1
881,2
882,1
883,1
884,2
885,1
886,3
887,3
888,1
889,2
890,1
891,3
892,1
893,1
894,1
895,1
896,2
897,2
898,1
899,1
900,1
901,2
902,3
903,1
904,2
905,1
906,3
907,1
908,3
909,2
910,3
911,1
912,0
913,1
914,2
915,2
916,1
917,1
918,1
919,1
920,2
921,2
922,3
923,1
924,3
925,3
926,1
927,1
928,1
929,2
930,1
931,1
932,1
933,1
934,3
935,1
936,2
937,2
938,1
939,1
940,1
941,2
942,1
943,1
944,1
945,1
946,1
947,3
948,1
949,2
950,1
951,1
952,1
953,1
954,1
955,2
956,1
957,3
958,2
959,1
960,1
961,1
962,1
963,2
964,4
965,2
966,1
967,3
968,2
969,1
970,1
971,4
972,1
973,1
974,1
975,1
976,1
977,2
978,3
979,3
980,1
981,3
982,1
983,4
984,2
985,4
986,4
987,1
988,1
989,2
990,2
991,3
992,2
993,1
994,2
995,1
996,1
997,2
998,1
999,1
1000,2
1001,2
1002,4
1003,4
1004,1
1005,2
1006,1
1007,1
1008,1
1009,3
1010,1
1011,1
1012,3
1013,2
1014,1
1015,1
1016,1
1017,1
1018,3
1019,1
1020,2
1021,1
1022,1
1023,4
1024,4
1025,3
1026,1
1027,2
1028,1
1029,0
1030,1
1031,2
1032,1
1033,1
1034,3
1035,3
1036,1
1037,0
1038,2
1039,1
1040,1
1041,1
1042,2
1043,2
1044,1
1045,1
1046,1
1047,1
1048,1
1049,2
1050,3
1051,3
1052,1
1053,1
1054,1
1055,1
1056,2
1057,1
1058,1
1059,1
1060,1
1061,3
1062,2
1063,3
1064,2
1065,2
1066,1
1067,1
1068,1
1069,4
1070,2
1071,1
1072,1
1073,2
1074,2
1075,2
1076,1
1077,2
1078,1
1079,2
1080,4
1081,2
1082,1
1083,1
1084,2
1085,3
1086,4
1087,2
1088,1
1089,1
1090,3
1091,1
1092,1
1093,1
1094,1
1095,1
1096,2
1097,1
1098,4
1099,3
1100,0
1101,1
1102,2
1103,2
1104,2
1105,2
1106,1
1107,1
1108,1
1109,1
1110,1
1111,2
1112,3
1113,2
1114,2
1115,1
1116,1
1117,1
1118,3
1119,1
1120,2
1121,0
1122,3
1123,3
1124,2
1125,4
1126,2
1127,2
1128,1
1129,1
1130,2
1131,0
1132,3
1133,1
1134,1
1135,1
1136,1
1137,1
1138,4
1139,1
1140,1
1141,1
1142,3
1143,4
1144,1
1145,2
1146,1
1147,2
1148,4
1149,2
1150,2
1151,1
1152,4
1153,1
1154,2
1155,1
1156,3
1157,3
1158,1
1159,1
1160,1
1161,1
1162,4
1163,4
1164,3
1165,1
1166,1
1167,1
1168,2
1169,1
1170,2
1171,1
1172,1
1173,2
1174,2
1175,1
1176,1
1177,3
1178,2
1179,1
1180,1
1181,3
1182,0
1183,1
1184,2
1185,3
1186,1
1187,2
1188,1
1189,0
1190,1
1191,3
1192,1
1193,1
1194,2
1195,0
1196,3
1197,1
1198,1
1199,1
1200,1
1201,3
1202,0
1203,2
1204,3
1205,4
1206,3
1207,1
1208,1
1209,0
1210,3
1211,1
1212,1
1213,3
1214,2
1215,0
1216,1
1217,1
1218,4
1219,1
1220,2
1221,1
1222,2
1223,1
1224,1
1225,1
1226,2
1227,1
1228,4
1229,1
1230,1
1231,2
1232,2
1233,1
1234,1
1235,1
1236,2
1237,2
1238,1
1239,1
1240,1
1241,3
1242,2
1243,1
1244,1
1245,2
1246,2
1247,1
1248,2
1249,2
1250,1
1251,1
1252,1
1253,3
1254,3
1255,2
1256,1
1257,1
