Id,Category
0,1
1,1
2,1
3,1
4,1
5,2
6,3
7,1
8,2
9,1
10,3
11,2
12,1
13,2
14,0
15,2
16,1
17,1
18,2
19,3
20,1
21,3
22,3
23,1
24,1
25,3
26,2
27,1
28,2
29,2
30,2
31,3
32,1
33,1
34,1
35,1
36,1
37,2
38,1
39,3
40,1
41,2
42,2
43,2
44,4
45,3
46,1
47,1
48,1
49,1
50,2
51,2
52,1
53,4
54,3
55,1
56,1
57,1
58,3
59,1
60,3
61,2
62,1
63,1
64,2
65,2
66,3
67,2
68,1
69,0
70,1
71,2
72,1
73,2
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,2
82,2
83,1
84,2
85,1
86,1
87,1
88,3
89,1
90,2
91,1
92,1
93,1
94,2
95,1
96,2
97,1
98,1
99,1
100,1
101,2
102,2
103,4
104,2
105,2
106,1
107,1
108,3
109,2
110,1
111,1
112,3
113,1
114,4
115,1
116,1
117,2
118,1
119,1
120,2
121,1
122,1
123,1
124,2
125,1
126,1
127,2
128,2
129,1
130,4
131,3
132,2
133,2
134,4
135,2
136,3
137,2
138,1
139,1
140,1
141,1
142,2
143,1
144,1
145,2
146,1
147,2
148,1
149,1
150,1
151,2
152,1
153,1
154,0
155,1
156,2
157,1
158,1
159,2
160,1
161,1
162,2
163,1
164,3
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,0
174,1
175,2
176,1
177,4
178,2
179,1
180,1
181,1
182,2
183,1
184,1
185,2
186,1
187,1
188,1
189,2
190,1
191,1
192,3
193,1
194,2
195,2
196,1
197,1
198,1
199,1
200,4
201,1
202,1
203,2
204,1
205,3
206,1
207,1
208,3
209,3
210,2
211,1
212,1
213,1
214,1
215,1
216,1
217,2
218,1
219,1
220,4
221,1
222,2
223,3
224,3
225,1
226,1
227,2
228,1
229,2
230,1
231,1
232,1
233,2
234,2
235,1
236,1
237,0
238,3
239,3
240,3
241,2
242,1
243,1
244,2
245,2
246,3
247,1
248,1
249,2
250,1
251,2
252,1
253,3
254,4
255,2
256,1
257,0
258,1
259,1
260,1
261,1
262,1
263,2
264,3
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,2
273,4
274,1
275,1
276,3
277,1
278,3
279,1
280,3
281,2
282,1
283,1
284,2
285,2
286,2
287,1
288,1
289,3
290,3
291,0
292,1
293,2
294,1
295,2
296,0
297,1
298,1
299,1
300,1
301,1
302,2
303,1
304,1
305,1
306,1
307,1
308,2
309,2
310,3
311,1
312,1
313,1
314,2
315,2
316,3
317,2
318,1
319,2
320,1
321,1
322,1
323,1
324,1
325,3
326,2
327,1
328,3
329,2
330,1
331,3
332,2
333,1
334,1
335,1
336,3
337,1
338,1
339,1
340,1
341,2
342,2
343,1
344,1
345,3
346,1
347,2
348,1
349,2
350,1
351,1
352,1
353,0
354,4
355,4
356,2
357,1
358,1
359,2
360,2
361,1
362,3
363,3
364,1
365,2
366,1
367,2
368,0
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,2
377,1
378,1
379,1
380,3
381,1
382,1
383,1
384,1
385,2
386,1
387,0
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,3
400,1
401,1
402,1
403,1
404,1
405,2
406,2
407,1
408,1
409,1
410,1
411,1
412,1
413,2
414,1
415,1
416,2
417,1
418,2
419,0
420,2
421,1
422,2
423,0
424,2
425,3
426,1
427,2
428,1
429,1
430,1
431,3
432,2
433,1
434,1
435,1
436,1
437,3
438,0
439,1
440,1
441,1
442,3
443,1
444,1
445,3
446,1
447,1
448,2
449,1
450,2
451,1
452,2
453,2
454,3
455,3
456,1
457,4
458,1
459,2
460,1
461,1
462,1
463,1
464,2
465,2
466,2
467,1
468,2
469,2
470,2
471,1
472,1
473,1
474,1
475,1
476,2
477,1
478,2
479,0
480,1
481,1
482,2
483,2
484,1
485,4
486,1
487,2
488,4
489,2
490,1
491,1
492,3
493,2
494,1
495,3
496,1
497,1
498,3
499,2
500,1
501,1
502,3
503,1
504,1
505,1
506,3
507,2
508,0
509,1
510,1
511,1
512,1
513,2
514,1
515,1
516,1
517,1
518,3
519,3
520,1
521,1
522,1
523,1
524,2
525,1
526,2
527,1
528,2
529,1
530,1
531,1
532,2
533,2
534,1
535,3
536,2
537,1
538,3
539,1
540,3
541,1
542,1
543,2
544,1
545,2
546,4
547,1
548,1
549,1
550,1
551,4
552,3
553,1
554,1
555,1
556,1
557,2
558,1
559,3
560,3
561,2
562,1
563,2
564,0
565,2
566,1
567,1
568,1
569,3
570,2
571,1
572,1
573,2
574,1
575,2
576,2
577,1
578,2
579,1
580,1
581,2
582,1
583,1
584,1
585,2
586,1
587,1
588,1
589,1
590,2
591,2
592,3
593,1
594,1
595,4
596,3
597,3
598,0
599,3
600,1
601,1
602,2
603,1
604,1
605,1
606,0
607,3
608,1
609,1
610,2
611,2
612,3
613,2
614,0
615,1
616,1
617,1
618,1
619,1
620,1
621,2
622,1
623,1
624,2
625,1
626,3
627,1
628,1
629,1
630,1
631,1
632,2
633,1
634,1
635,1
636,3
637,1
638,1
639,1
640,1
641,1
642,4
643,2
644,4
645,2
646,1
647,1
648,2
649,3
650,3
651,4
652,2
653,0
654,1
655,2
656,1
657,2
658,1
659,1
660,3
661,1
662,2
663,1
664,1
665,2
666,1
667,2
668,3
669,1
670,3
671,1
672,2
673,2
674,1
675,2
676,1
677,1
678,1
679,3
680,1
681,2
682,3
683,1
684,1
685,1
686,0
687,2
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,3
696,3
697,2
698,3
699,1
700,4
701,1
702,1
703,3
704,1
705,2
706,2
707,1
708,1
709,1
710,2
711,0
712,2
713,1
714,1
715,1
716,4
717,1
718,1
719,1
720,2
721,2
722,1
723,1
724,4
725,1
726,3
727,1
728,1
729,4
730,3
731,1
732,1
733,1
734,1
735,2
736,2
737,4
738,1
739,3
740,2
741,1
742,2
743,1
744,0
745,0
746,1
747,1
748,3
749,2
750,1
751,1
752,1
753,1
754,4
755,2
756,1
757,2
758,1
759,1
760,0
761,1
762,1
763,2
764,3
765,1
766,1
767,1
768,1
769,2
770,4
771,1
772,1
773,2
774,3
775,0
776,1
777,1
778,2
779,0
780,3
781,1
782,2
783,4
784,1
785,1
786,2
787,2
788,1
789,0
790,2
791,1
792,2
793,2
794,2
795,2
796,1
797,2
798,1
799,1
800,1
801,1
802,1
803,3
804,2
805,1
806,1
807,2
808,1
809,2
810,1
811,2
