Id,Category
0,1
1,2
2,4
3,1
4,1
5,2
6,2
7,1
8,1
9,2
10,1
11,1
12,1
13,0
14,1
15,1
16,3
17,2
18,4
19,1
20,2
21,1
22,3
23,2
24,1
25,1
26,2
27,2
28,3
29,2
30,4
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,3
41,2
42,1
43,1
44,1
45,4
46,1
47,2
48,3
49,1
50,4
51,1
52,2
53,1
54,2
55,2
56,1
57,1
58,1
59,1
60,2
61,4
62,1
63,1
64,0
65,1
66,1
67,1
68,1
69,1
70,2
71,2
72,1
73,1
74,1
75,1
76,4
77,1
78,2
79,2
80,2
81,1
82,1
83,1
84,2
85,1
86,4
87,1
88,2
89,2
90,1
91,2
92,2
93,2
94,1
95,1
96,1
97,1
98,2
99,2
100,1
101,0
102,1
103,1
104,4
105,3
106,1
107,2
108,2
109,1
110,1
111,1
112,3
113,1
114,2
115,1
116,4
117,2
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,2
130,2
131,3
132,1
133,2
134,4
135,2
136,2
137,2
138,3
139,2
140,1
141,1
142,1
143,2
144,1
145,2
146,1
147,1
148,4
149,1
150,1
151,1
152,1
153,2
154,2
155,2
156,2
157,2
158,1
159,0
160,1
161,1
162,0
163,1
164,1
165,4
166,2
167,1
168,1
169,1
170,2
171,1
172,1
173,1
174,1
175,2
176,1
177,0
178,1
179,1
180,1
181,1
182,2
183,2
184,4
185,1
186,1
187,1
188,3
189,2
190,1
191,1
192,1
193,1
194,1
195,2
196,1
197,1
198,1
199,1
200,2
201,1
202,1
203,2
204,1
205,1
206,2
207,1
208,1
209,1
210,1
211,2
212,1
213,2
214,1
215,1
216,1
217,1
218,1
219,1
220,2
221,4
222,1
223,1
224,1
225,1
226,1
227,2
228,1
229,2
230,1
231,1
232,2
233,2
234,1
235,1
236,1
237,4
238,1
239,1
240,2
241,2
242,2
243,4
244,1
245,1
246,1
247,3
248,1
249,2
250,2
251,1
252,1
253,1
254,4
255,2
256,4
257,1
258,4
259,1
260,1
261,2
262,1
263,2
264,2
265,4
266,1
267,1
268,1
269,2
270,1
271,1
272,1
273,2
274,2
275,1
276,2
277,4
278,1
279,1
280,4
281,2
282,1
283,3
284,1
285,1
286,2
287,1
288,4
289,1
290,1
291,1
292,1
293,2
294,2
295,1
296,1
297,4
298,4
299,2
300,1
301,4
302,2
303,4
304,1
305,1
306,1
307,1
308,1
309,2
310,1
311,2
312,2
313,2
314,2
315,1
316,2
317,1
318,1
319,2
320,1
321,1
322,4
323,2
324,2
325,1
326,2
327,1
328,3
329,2
330,1
331,1
332,1
333,1
334,2
335,1
336,2
337,1
338,2
339,1
340,3
341,1
342,1
343,1
344,1
345,3
346,2
347,1
348,2
349,2
350,1
351,2
352,2
353,1
354,1
355,1
356,1
357,2
358,1
359,1
360,0
361,1
362,4
363,1
364,1
365,3
366,2
367,1
368,1
369,1
370,1
371,3
372,1
373,1
374,2
375,2
376,1
377,1
378,4
379,2
380,1
381,2
382,3
383,1
384,1
385,1
386,4
387,1
388,1
389,1
390,1
391,1
392,2
393,3
394,1
395,1
396,1
397,1
398,4
399,2
400,2
401,1
402,4
403,2
404,4
405,1
406,1
407,1
408,1
409,1
410,2
411,4
412,1
413,2
414,1
415,3
416,1
417,2
418,1
419,0
420,2
421,2
422,1
423,2
424,1
425,2
426,2
427,1
428,3
429,1
430,1
431,1
432,2
433,1
434,1
435,2
436,4
437,3
438,1
439,3
440,1
441,3
442,1
443,1
444,2
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,2
460,1
461,1
462,1
463,1
464,1
465,4
466,4
467,1
468,1
469,1
470,2
471,1
472,1
473,3
474,1
475,3
476,2
477,1
478,2
479,1
480,4
481,1
482,4
483,2
484,2
485,4
486,2
487,2
488,2
489,2
490,4
491,4
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,4
501,1
502,4
503,2
504,2
505,2
506,1
507,1
508,2
509,3
510,1
511,1
512,1
513,4
514,1
515,2
516,1
517,1
518,1
519,2
520,2
521,1
522,1
523,4
524,0
525,4
526,2
527,1
528,2
529,1
530,2
531,1
532,2
533,1
534,1
535,1
536,1
537,1
538,4
539,3
540,1
541,2
542,2
543,2
544,4
545,2
546,1
547,1
548,2
549,1
550,2
551,1
552,1
553,1
554,1
555,1
556,2
557,2
558,1
559,1
560,1
561,1
562,1
563,1
564,4
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,2
573,1
574,4
575,1
576,1
577,1
578,1
579,2
580,1
581,1
582,1
583,1
584,2
585,2
586,1
587,1
588,1
589,2
590,1
591,3
592,2
593,4
594,1
595,1
596,1
597,2
598,2
599,1
600,1
601,4
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,2
610,1
611,1
612,1
613,2
614,0
615,4
616,1
617,4
618,3
619,1
620,1
621,1
622,2
623,2
624,1
625,1
626,4
627,1
628,2
629,2
630,1
631,4
632,2
633,2
634,3
635,1
636,3
637,1
638,1
639,1
640,1
641,1
642,1
643,2
644,1
645,2
646,1
647,4
648,1
649,4
650,1
651,1
652,1
653,2
654,2
655,1
656,1
657,2
658,2
659,1
660,4
661,1
662,1
663,1
664,1
665,2
666,1
667,1
668,1
669,4
670,3
671,1
672,1
673,1
674,1
675,2
676,2
677,4
678,2
679,1
680,1
681,1
682,2
683,2
684,1
685,4
686,2
687,1
688,1
689,1
690,1
691,1
692,4
693,4
694,1
695,1
696,1
697,2
698,1
699,1
700,4
701,2
702,1
703,1
704,1
705,0
706,1
707,2
708,2
709,1
710,0
711,1
712,3
713,1
714,1
715,2
716,4
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,2
729,1
730,1
731,1
732,2
733,3
734,1
735,1
736,4
737,2
738,1
739,2
740,1
741,1
742,1
743,1
744,4
745,1
746,1
747,2
748,1
749,1
750,1
751,1
752,0
753,3
754,1
755,2
756,3
757,1
758,1
759,2
760,1
761,3
762,1
763,1
764,4
765,1
766,1
767,1
768,1
769,1
770,1
771,3
772,1
773,2
774,1
775,1
776,1
777,2
778,1
779,1
780,1
781,1
782,4
783,4
784,1
785,1
786,4
787,2
788,1
789,4
790,2
791,2
792,2
793,4
794,1
795,1
796,1
797,1
798,2
799,3
800,1
801,1
802,1
803,1
804,0
805,1
806,2
807,2
808,1
809,3
810,1
811,1
812,1
813,2
814,1
815,2
816,1
817,2
818,1
819,1
820,1
821,1
822,1
823,1
824,4
825,1
826,1
827,2
828,2
829,1
830,2
831,1
832,2
833,1
834,1
835,2
836,1
837,1
838,1
839,1
840,2
841,1
842,2
843,1
844,1
845,2
846,2
847,2
848,2
849,4
850,1
851,2
852,2
853,2
854,1
855,2
856,2
857,2
858,1
859,2
860,1
861,4
862,1
863,1
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,2
873,2
874,1
875,1
876,1
877,2
878,1
879,1
880,1
881,1
882,1
883,1
884,1
885,2
886,1
887,2
888,2
889,1
890,1
891,1
892,2
893,1
894,4
895,2
896,2
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,2
907,4
908,2
909,1
910,1
911,1
912,1
913,2
914,2
915,1
916,2
917,1
918,4
919,1
920,2
921,2
922,1
923,2
924,1
925,2
926,1
927,1
928,1
929,2
930,1
931,1
932,2
933,1
934,2
935,1
936,3
937,1
938,1
939,0
940,3
941,1
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,2
950,2
951,1
952,2
953,2
954,4
955,4
956,2
957,4
958,1
959,1
960,0
961,1
962,2
