Id,Category
0,1
1,1
2,4
3,1
4,1
5,4
6,2
7,1
8,1
9,2
10,1
11,1
12,1
13,0
14,0
15,3
16,1
17,1
18,1
19,3
20,2
21,1
22,3
23,4
24,1
25,1
26,4
27,1
28,3
29,2
30,4
31,2
32,1
33,1
34,1
35,1
36,2
37,1
38,0
39,3
40,3
41,1
42,2
43,1
44,1
45,4
46,1
47,2
48,1
49,1
50,4
51,4
52,1
53,3
54,2
55,2
56,1
57,1
58,1
59,1
60,4
61,4
62,1
63,2
64,0
65,1
66,3
67,1
68,1
69,1
70,2
71,4
72,1
73,1
74,2
75,1
76,1
77,1
78,3
79,2
80,2
81,3
82,1
83,1
84,4
85,1
86,4
87,1
88,2
89,2
90,2
91,2
92,2
93,2
94,1
95,2
96,1
97,1
98,1
99,2
100,4
101,0
102,1
103,3
104,4
105,3
106,1
107,1
108,2
109,1
110,1
111,1
112,3
113,1
114,1
115,1
116,1
117,4
118,3
119,3
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,4
128,1
129,4
130,4
131,1
132,1
133,1
134,4
135,2
136,4
137,4
138,1
139,4
140,1
141,1
142,2
143,0
144,2
145,2
146,1
147,3
148,4
149,1
150,1
151,0
152,1
153,1
154,1
155,2
156,1
157,1
158,2
159,0
160,1
161,1
162,0
163,3
164,1
165,1
166,1
167,1
168,1
169,2
170,1
171,2
172,1
173,1
174,1
175,2
176,1
177,0
178,1
179,1
180,1
181,1
182,2
183,1
184,4
185,1
186,3
187,2
188,1
189,2
190,1
191,1
192,1
193,3
194,1
195,4
196,1
197,1
198,1
199,3
200,1
201,2
202,2
203,1
204,1
205,4
206,1
207,1
208,3
209,3
210,1
211,4
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,0
221,4
222,2
223,2
224,1
225,0
226,1
227,2
228,3
229,3
230,1
231,1
232,3
233,2
234,1
235,4
236,1
237,4
238,1
239,3
240,2
241,2
242,2
243,4
244,1
245,4
246,2
247,1
248,2
249,1
250,4
251,1
252,1
253,3
254,4
255,2
256,4
257,1
258,4
259,1
260,1
261,1
262,1
263,2
264,2
265,4
266,1
267,1
268,4
269,4
270,1
271,1
272,1
273,4
274,2
275,1
276,2
277,4
278,4
279,1
280,4
281,1
282,1
283,1
284,1
285,1
286,4
287,1
288,4
289,2
290,1
291,3
292,1
293,2
294,2
295,4
296,1
297,4
298,1
299,2
300,4
301,4
302,2
303,4
304,1
305,1
306,1
307,4
308,1
309,2
310,2
311,4
312,1
313,3
314,2
315,2
316,2
317,1
318,1
319,1
320,3
321,1
322,4
323,2
324,1
325,3
326,4
327,1
328,3
329,3
330,4
331,1
332,1
333,1
334,2
335,1
336,4
337,1
338,2
339,2
340,3
341,1
342,2
343,1
344,3
345,3
346,4
347,1
348,2
349,4
350,4
351,1
352,1
353,1
354,3
355,4
356,1
357,2
358,1
359,1
360,2
361,3
362,4
363,2
364,4
365,3
366,2
367,2
368,1
369,1
370,1
371,3
372,1
373,3
374,1
375,1
376,1
377,1
378,4
379,1
380,1
381,2
382,3
383,1
384,1
385,1
386,4
387,0
388,4
389,1
390,1
391,2
392,1
393,3
394,1
395,1
396,1
397,3
398,4
399,2
400,3
401,1
402,4
403,2
404,4
405,0
406,1
407,2
408,1
409,1
410,2
411,4
412,1
413,2
414,1
415,3
416,1
417,1
418,1
419,0
420,1
421,1
422,3
423,2
424,1
425,3
426,1
427,4
428,3
429,1
430,1
431,1
432,1
433,1
434,1
435,3
436,4
437,1
438,1
439,3
440,3
441,3
442,1
443,1
444,1
445,4
446,2
447,1
448,1
449,1
450,1
451,3
452,2
453,1
454,1
455,1
456,1
457,0
458,1
459,1
460,1
461,2
462,1
463,1
464,1
465,4
466,4
467,1
468,1
469,1
470,2
471,1
472,1
473,1
474,2
475,3
476,4
477,1
478,2
479,1
480,4
481,1
482,4
483,4
484,1
485,1
486,1
487,4
488,1
489,2
490,4
491,4
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,4
501,1
502,4
503,1
504,2
505,2
506,2
507,1
508,1
509,1
510,1
511,3
512,1
513,4
514,1
515,1
516,1
517,1
518,1
519,4
520,4
521,1
522,1
523,4
524,2
525,4
526,2
527,2
528,2
529,1
530,1
531,1
532,2
533,1
534,1
535,1
536,1
537,1
538,4
539,3
540,1
541,1
542,4
543,4
544,4
545,2
546,0
547,1
548,4
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,3
557,2
558,1
559,3
560,1
561,1
562,1
563,1
564,4
565,1
566,3
567,0
568,4
569,2
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,4
581,1
582,1
583,1
584,2
585,4
586,1
587,1
588,1
589,3
590,4
591,3
592,1
593,4
594,2
595,0
596,3
597,1
598,1
599,3
600,1
601,4
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,2
610,4
611,1
612,3
613,2
614,0
615,4
616,4
617,1
618,1
619,1
620,3
621,1
622,2
623,4
624,1
625,1
626,4
627,1
628,4
629,2
630,1
631,1
632,2
633,4
634,3
635,1
636,3
637,1
638,3
639,1
640,1
641,1
642,3
643,4
644,1
645,2
646,4
647,4
648,1
649,1
650,1
651,1
652,1
653,2
654,2
655,1
656,1
657,4
658,1
659,1
660,4
661,1
662,1
663,1
664,1
665,2
666,1
667,1
668,1
669,1
670,3
671,1
672,1
673,1
674,3
675,4
676,3
677,4
678,2
679,2
680,1
681,1
682,1
683,4
684,2
685,4
686,4
687,1
688,1
689,1
690,1
691,1
692,1
693,4
694,1
695,1
696,1
697,1
698,2
699,2
700,4
701,1
702,1
703,1
704,1
705,0
706,1
707,1
708,1
709,1
710,2
711,1
712,3
713,1
714,1
715,2
716,4
717,1
718,1
719,1
720,1
721,3
722,1
723,2
724,1
725,1
726,1
727,4
728,1
729,0
730,1
731,4
732,4
733,1
734,1
735,1
736,1
737,2
738,1
739,2
740,1
741,1
742,1
743,1
744,4
745,1
746,1
747,1
748,2
749,1
750,1
751,2
752,2
753,4
754,4
755,1
756,3
757,1
758,1
759,1
760,1
761,3
762,1
763,1
764,4
765,1
766,1
767,4
768,1
769,4
770,1
771,3
772,1
773,2
774,3
775,1
776,1
777,2
778,1
779,1
780,2
781,1
782,4
783,4
784,1
785,1
786,4
787,2
788,1
789,4
790,2
791,2
792,2
793,4
794,1
795,1
796,2
797,2
798,2
799,3
800,1
801,2
802,1
803,1
804,0
805,1
806,1
807,4
808,3
809,3
810,1
811,1
